#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A189D7
#Date Time: 2025-04-28 09:56:42.755
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 10.7 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.002580169655172414,0.4494399341328641,-9.868019188393692
-0.002579539655172414,0.4497721452306899,-9.824082560190849
-0.002578909655172414,0.4497721452306901,-9.776484546304392
-0.002578279655172414,0.4494399341328668,-9.732547918101524
-0.002577649655172414,0.455419733893732,-9.721563761050813
-0.002577019655172414,0.4620639558502518,-9.860696417026549
-0.002576389655172414,0.461731744752426,-9.99250630163508
-0.002575759655172414,0.4604029003611219,-10.12797757192731
-0.002575129655172414,0.4597384781654699,-10.23781914243447
-0.002574499655172414,0.4587418448719924,-10.34033794157444
-0.002573869655172414,0.4580774226763399,-10.41722704092949
-0.002573239655172414,0.4577452115785138,-10.49045475460096
-0.002572609655172414,0.4574130004806879,-10.54171415417094
-0.002571979655172414,0.456748578285036,-10.58931216805738
-0.002571349655172414,0.4567485782850358,-10.60761909647525
-0.002570719655172414,0.45641636718721,-10.62226463920953
-0.002570089655172414,0.456084156089384,-10.60395771079167
-0.002569459655172414,0.456084156089384,-10.59297355374096
-0.002568829655172414,0.455751944991558,-10.55635969690523
-0.002568199655172414,0.4540908895024265,-10.50876168301876
-0.002567569655172414,0.4507687785241681,-10.44651812639807
-0.002566939655172414,0.4524298340132981,-10.39892011251163
-0.002566309655172414,0.4520976229154716,-10.34399932725803
-0.002565679655172414,0.4511009896219941,-10.29640131337162
-0.002565049655172414,0.4461178231546042,-10.22683498538375
-0.002564419655172414,0.4457856120567784,-10.18289835718091
-0.002563789655172414,0.4457856120567782,-10.13530034329445
-0.002563159655172414,0.446117823154604,-10.09136371509157
